zip_code,data_granularity,metric_window,currency,active_listings,estimated_monthly_revenue_usd,occupancy_rate_pct,average_daily_rate_usd,studio_estimated_monthly_revenue_usd,studio_occupancy_rate_pct,studio_average_daily_rate_usd,one_bed_estimated_monthly_revenue_usd,one_bed_occupancy_rate_pct,one_bed_average_daily_rate_usd,two_bed_estimated_monthly_revenue_usd,two_bed_occupancy_rate_pct,two_bed_average_daily_rate_usd,three_bed_estimated_monthly_revenue_usd,three_bed_occupancy_rate_pct,three_bed_average_daily_rate_usd,four_bed_estimated_monthly_revenue_usd,four_bed_occupancy_rate_pct,four_bed_average_daily_rate_usd
95926,zip_code_aggregate,rolling_30_day_avg,USD,245,856.533,25,128,1064.58,38,100,1031.73,35.0,106.0,1770.86,44,142,719.05,15.0,197.0,1405.25,24.0,220.0
95928,zip_code_aggregate,rolling_30_day_avg,USD,298,875.088,24,137,838.283,29,106,882.083,28.0,116.0,843.15,21,154,716.008,14.0,214.0,748.25,13.0,246.0
95222,zip_code_aggregate,rolling_30_day_avg,USD,103,1160.7,21,212,1393.69,32,158,930.75,21.0,170.0,898.508,17,211,1385.18,21.0,253.0,1732.23,20.0,335.0
95223,zip_code_aggregate,rolling_30_day_avg,USD,1100,1098.65,17,258,1525.7,25,228,661.867,19.0,136.0,953.562,18,209,976.679,16.0,247.0,1261.38,16.0,319.0
95247,zip_code_aggregate,rolling_30_day_avg,USD,206,712.967,11,293,1499.24,34,159,982.458,22.0,170.0,766.5,13,252,457.771,8.0,301.0,792.05,10.0,372.0
95950,zip_code_aggregate,rolling_30_day_avg,USD,153,3701.1,75,169,2463.75,78,108,2258.44,78.0,99.0,3349.18,80,143,4066.71,73.0,191.0,4216.36,61.0,239.0
94516,zip_code_aggregate,rolling_30_day_avg,USD,180,870.525,21,159,1314.0,39,120,641.183,20.0,124.0,118.625,4,390,,,,1724.62,21.0,315.0
94519,zip_code_aggregate,rolling_30_day_avg,USD,121,963.6,21,176,1324.95,36,132,790.833,23.0,130.0,974.55,21,178,2346.34,32.0,266.0,732.433,10.0,344.0
94520,zip_code_aggregate,rolling_30_day_avg,USD,193,1329.21,22,230,1834.73,55,116,452.6,15.0,124.0,1411.94,25,211,1793.37,25.0,268.0,755.854,10.0,355.0
94523,zip_code_aggregate,rolling_30_day_avg,USD,570,993.408,26,142,1206.93,35,124,651.525,20.0,126.0,1391.56,28,183,187.367,5.0,308.0,-165.163,0.0,181.0
94530,zip_code_aggregate,rolling_30_day_avg,USD,731,1368.75,33,150,1491.03,41,129,1304.88,36.0,130.0,2224.98,38,209,1311.87,22.0,227.0,2371.59,26.0,339.0
94549,zip_code_aggregate,rolling_30_day_avg,USD,420,2007.8,44,161,1181.69,40,105,1750.18,45.0,137.0,2531.58,44,203,2095.1,27.0,287.0,,,
94553,zip_code_aggregate,rolling_30_day_avg,USD,232,1623.03,32,184,319.375,10,150,1902.56,48.0,139.0,2230.76,41,193,1919.9,27.0,263.0,539.287,12.0,197.0
94595,zip_code_aggregate,rolling_30_day_avg,USD,151,1287.23,26,184,1766.6,47,132,1437.8,32.0,163.0,1189.29,20,230,6073.6,55.0,384.0,,,
94596,zip_code_aggregate,rolling_30_day_avg,USD,404,1954.57,37,189,1439.32,29,182,1976.47,41.0,171.0,2376.15,39,217,2124.3,27.0,291.0,4041.77,47.0,302.0
94597,zip_code_aggregate,rolling_30_day_avg,USD,372,1897.09,36,189,1178.34,29,149,2478.96,53.0,163.0,1615.12,33,177,1658.62,22.0,287.0,2920.91,36.0,291.0
94801,zip_code_aggregate,rolling_30_day_avg,USD,292,1083.44,29,137,1199.63,32,136,1085.88,33.0,119.0,963.6,25,144,1825.91,32.0,207.0,952.65,15.0,261.0
94803,zip_code_aggregate,rolling_30_day_avg,USD,150,1099.26,29,139,1226.4,45,96,834.633,31.0,98.0,757.375,18,166,534.421,10.0,251.0,2706.17,34.0,287.0
94804,zip_code_aggregate,rolling_30_day_avg,USD,600,1051.2,27,144,488.188,18,107,1174.39,36.0,117.0,1133.32,26,162,902.767,17.0,212.0,1334.99,24.0,209.0
94805,zip_code_aggregate,rolling_30_day_avg,USD,358,1014.7,27,139,1203.28,46,92,866.875,28.0,114.0,1156.14,24,181,501.267,11.0,206.0,991.583,13.0,326.0
94806,zip_code_aggregate,rolling_30_day_avg,USD,245,874.479,28,115,744.6,27,102,1022.0,38.0,96.0,882.083,28,116,635.1,12.0,232.0,630.233,10.0,296.0
95531,zip_code_aggregate,rolling_30_day_avg,USD,505,1406.16,26,201,1571.32,44,126,1505.62,36.0,150.0,1494.68,30,182,1264.72,21.0,231.0,1170.43,16.0,296.0
95667,zip_code_aggregate,rolling_30_day_avg,USD,110,1469.12,33,161,1594.75,52,107,1537.26,41.0,133.0,1117.81,24,175,1686.0,26.0,241.0,2593.93,29.0,328.0
96150,zip_code_aggregate,rolling_30_day_avg,USD,798,1456.35,17,342,1134.24,36,113,1799.15,38.0,169.0,1211.8,19,249,1265.33,16.0,320.0,1633.07,16.0,413.0
96151,zip_code_aggregate,rolling_30_day_avg,USD,202,1264.72,17,297,1070.67,23,176,423.4,9.0,232.0,600.425,9,329,2876.2,27.0,394.0,1149.75,10.0,540.0
93664,zip_code_aggregate,rolling_30_day_avg,USD,309,662.171,10,311,501.875,13,165,816.992,20.0,158.0,554.8,11,228,465.375,8.0,306.0,900.638,10.0,423.0
95501,zip_code_aggregate,rolling_30_day_avg,USD,136,1671.09,44,134,1236.74,41,107,1739.83,58.0,104.0,1660.75,38,156,2130.38,37.0,206.0,731.521,16.0,185.0
95503,zip_code_aggregate,rolling_30_day_avg,USD,358,1355.06,30,165,2022.4,64,109,1090.13,31.0,128.0,1518.1,34,161,1576.8,27.0,216.0,1318.87,19.0,271.0
95521,zip_code_aggregate,rolling_30_day_avg,USD,239,1469.73,35,151,1294.84,36,129,1255.6,35.0,129.0,1752.0,39,160,1722.8,35.0,177.0,2098.75,28.0,276.0
92243,zip_code_aggregate,rolling_30_day_avg,USD,109,745.513,22,129,1086.48,41,94,618.371,22.0,107.0,1299.4,27,178,1073.1,21.0,196.0,1288.75,22.0,223.0
93301,zip_code_aggregate,rolling_30_day_avg,USD,363,815.167,23,134,602.25,21,110,1085.88,37.0,105.0,875.088,24,137,1034.17,23.0,170.0,1158.27,20.0,224.0
93304,zip_code_aggregate,rolling_30_day_avg,USD,463,1067.32,32,121,1321.6,58,79,930.75,33.0,102.0,1034.78,30,126,472.067,11.0,194.0,980.025,21.0,179.0
93305,zip_code_aggregate,rolling_30_day_avg,USD,116,848.625,21,155,210.788,12,77,923.45,36.0,92.0,832.2,21,152,853.188,20.0,165.0,842.846,20.0,163.0
93306,zip_code_aggregate,rolling_30_day_avg,USD,211,830.375,24,130,2129.17,43,175,689.85,30.0,84.0,902.463,26,129,807.562,18.0,177.0,1206.93,19.0,248.0
93308,zip_code_aggregate,rolling_30_day_avg,USD,110,1362.67,31,160,1388.52,58,83,627.8,27.0,86.0,584.0,18,128,2171.75,38.0,204.0,1373.31,24.0,215.0
93309,zip_code_aggregate,rolling_30_day_avg,USD,509,1184.43,25,177,1506.54,42,127,669.167,25.0,100.0,978.2,27,134,1365.1,25.0,204.0,1085.88,17.0,255.0
93311,zip_code_aggregate,rolling_30_day_avg,USD,492,1138.5,22,197,640.575,29,81,595.558,25.0,89.0,1196.29,26,171,558.45,12.0,204.0,1358.1,22.0,235.0
93312,zip_code_aggregate,rolling_30_day_avg,USD,855,1254.08,22,217,170.333,10,80,796.308,25.0,119.0,1264.72,30,154,1129.07,19.0,232.0,1649.8,27.0,226.0
93313,zip_code_aggregate,rolling_30_day_avg,USD,375,771.062,16,195,706.883,31,83,479.062,18.0,105.0,653.35,15,179,705.971,14.0,211.0,736.083,14.0,220.0
93314,zip_code_aggregate,rolling_30_day_avg,USD,153,1757.47,30,214,755.55,30,92,1125.42,40.0,100.0,1494.68,42,126,1567.07,35.0,161.0,1473.69,22.0,255.0
93230,zip_code_aggregate,rolling_30_day_avg,USD,107,1052.42,23,173,1226.7,40,109,854.1,29.0,108.0,826.421,22,143,1007.4,19.0,207.0,996.45,17.0,234.0
95422,zip_code_aggregate,rolling_30_day_avg,USD,131,596.167,13,196,222.65,7,183,455.033,14.0,136.0,889.688,18,195,737.3,11.0,303.0,958.125,12.0,350.0
95451,zip_code_aggregate,rolling_30_day_avg,USD,115,660.042,13,217,438.0,11,180,602.25,14.0,180.0,610.463,12,223,833.112,14.0,249.0,-3.41061e-13,3.0,349.0
95464,zip_code_aggregate,rolling_30_day_avg,USD,121,1073.1,24,168,862.312,24,135,821.25,23.0,135.0,822.467,19,169,1658.32,32.0,188.0,,,
96137,zip_code_aggregate,rolling_30_day_avg,USD,306,1293.01,16,327,778.667,19,160,845.583,13.0,278.0,1260.47,19,259,1293.01,16.0,327.0,1703.33,17.0,400.0
90018,zip_code_aggregate,rolling_30_day_avg,USD,161,1126.94,18,247,2176.01,52,146,1490.42,38.0,140.0,1505.62,25,225,869.917,14.0,260.0,312.075,6.0,342.0
90019,zip_code_aggregate,rolling_30_day_avg,USD,182,1039.95,16,263,2215.85,50,155,936.833,23.0,154.0,1077.36,17,253,820.033,11.0,337.0,968.771,16.0,245.0
90022,zip_code_aggregate,rolling_30_day_avg,USD,273,666.125,18,146,624.15,21,114,789.617,25.0,118.0,430.7,11,177,907.938,18.0,199.0,505.525,9.0,277.0
90025,zip_code_aggregate,rolling_30_day_avg,USD,142,1644.32,20,318,1929.94,48,141,1300.31,22.0,225.0,2294.33,22,397,1161.92,13.0,382.0,1200.85,9.0,658.0
90026,zip_code_aggregate,rolling_30_day_avg,USD,564,1251.95,17,294,1023.83,25,153,1533.0,27.0,210.0,1380.61,20,267,1059.41,12.0,387.0,979.417,10.0,460.0
90039,zip_code_aggregate,rolling_30_day_avg,USD,265,2098.75,23,345,958.125,18,210,1763.56,29.0,223.0,2317.75,23,381,2199.12,18.0,482.0,3120.75,22.0,540.0
90041,zip_code_aggregate,rolling_30_day_avg,USD,213,1646.15,36,164,1912.6,51,131,2310.15,52.0,155.0,1231.27,19,253,2395.62,25.0,358.0,1635.2,19.0,336.0
90042,zip_code_aggregate,rolling_30_day_avg,USD,277,1722.8,27,236,1715.5,43,141,1464.87,31.0,172.0,1849.33,23,304,2462.53,19.0,506.0,1584.1,15.0,434.0
90043,zip_code_aggregate,rolling_30_day_avg,USD,337,907.938,18,199,874.479,26,125,1072.19,28.0,141.0,1171.65,21,214,955.083,13.0,314.0,1456.35,17.0,342.0
90044,zip_code_aggregate,rolling_30_day_avg,USD,165,1204.5,23,198,979.112,32,111,1214.54,36.0,121.0,1022.0,19,210,1666.83,23.0,274.0,1104.12,14.0,330.0
