zip_code,data_granularity,metric_window,currency,active_listings,estimated_monthly_revenue_usd,occupancy_rate_pct,average_daily_rate_usd,studio_estimated_monthly_revenue_usd,studio_occupancy_rate_pct,studio_average_daily_rate_usd,one_bed_estimated_monthly_revenue_usd,one_bed_occupancy_rate_pct,one_bed_average_daily_rate_usd,two_bed_estimated_monthly_revenue_usd,two_bed_occupancy_rate_pct,two_bed_average_daily_rate_usd,three_bed_estimated_monthly_revenue_usd,three_bed_occupancy_rate_pct,three_bed_average_daily_rate_usd,four_bed_estimated_monthly_revenue_usd,four_bed_occupancy_rate_pct,four_bed_average_daily_rate_usd
91001,zip_code_aggregate,rolling_30_day_avg,USD,119,1336.2,26,191,1553.07,49,111,1575.58,38.0,148.0,806.65,15,221,1034.78,12.0,378.0,2031.22,21.0,371.0
91011,zip_code_aggregate,rolling_30_day_avg,USD,111,1931.46,28,254,2317.75,33,254,2306.8,35.0,237.0,2183.92,23,359,5046.43,50.0,353.0,-511.0,0.0,560.0
91016,zip_code_aggregate,rolling_30_day_avg,USD,532,1515.97,31,178,1096.22,37,106,1469.12,38.0,138.0,1541.52,31,181,1385.18,21.0,253.0,1675.35,21.0,306.0
91020,zip_code_aggregate,rolling_30_day_avg,USD,291,1654.67,35,170,1182.6,30,144,1706.38,37.0,165.0,2982.05,41,258,1084.05,14.0,324.0,,,
91030,zip_code_aggregate,rolling_30_day_avg,USD,169,1575.58,31,185,1800.67,43,148,1596.27,35.0,164.0,1699.99,30,207,2784.95,24.0,436.0,2138.29,22.0,370.0
91104,zip_code_aggregate,rolling_30_day_avg,USD,157,1365.1,27,187,1661.05,46,127,1414.38,33.0,155.0,1511.1,26,216,976.983,14.0,292.0,2113.35,21.0,386.0
91105,zip_code_aggregate,rolling_30_day_avg,USD,104,2032.44,29,257,1839.6,39,168,1800.67,35.0,185.0,2174.79,25,325,3066.0,21.0,560.0,,,
91106,zip_code_aggregate,rolling_30_day_avg,USD,382,1368.75,23,225,827.333,23,136,1321.3,27.0,181.0,1300.31,22,225,1681.74,22.0,291.0,,,
91107,zip_code_aggregate,rolling_30_day_avg,USD,921,1998.98,34,212,1260.47,40,112,1465.47,36.0,146.0,1890.7,31,222,1450.57,22.0,251.0,1258.03,14.0,376.0
91201,zip_code_aggregate,rolling_30_day_avg,USD,137,1132.72,22,196,1003.14,20,194,999.796,22.0,173.0,790.833,16,200,805.433,11.0,331.0,3821.55,39.0,349.0
91202,zip_code_aggregate,rolling_30_day_avg,USD,185,888.167,13,292,3367.12,48,246,266.45,6.0,292.0,799.35,12,292,2589.68,25.0,387.0,,,
91203,zip_code_aggregate,rolling_30_day_avg,USD,526,1358.1,22,235,498.833,13,164,1040.25,21.0,190.0,1577.71,22,273,1390.65,15.0,381.0,,,
91206,zip_code_aggregate,rolling_30_day_avg,USD,104,1575.58,40,140,1499.24,56,93,1575.58,40.0,140.0,1555.81,18,341,,,,,,
91207,zip_code_aggregate,rolling_30_day_avg,USD,179,1273.24,17,299,1200.85,31,141,,,,1975.87,35,203,863.833,11.0,355.0,1271.42,14.0,380.0
91208,zip_code_aggregate,rolling_30_day_avg,USD,107,1605.39,32,182,809.083,17,190,1879.45,40.0,167.0,2393.18,31,281,,,,,,
91302,zip_code_aggregate,rolling_30_day_avg,USD,116,1022.0,17,240,-89.425,0,98,889.383,20.0,172.0,1064.58,17,250,1716.11,17.0,403.0,1694.51,12.0,619.0
91304,zip_code_aggregate,rolling_30_day_avg,USD,194,1683.87,19,346,1168.61,37,113,1775.72,45.0,139.0,1708.2,27,234,2196.08,22.0,380.0,1602.35,15.0,439.0
91306,zip_code_aggregate,rolling_30_day_avg,USD,120,2822.67,32,320,3312.38,93,121,1691.17,43.0,139.0,5940.38,93,217,2235.62,24.0,350.0,3660.65,32.0,415.0
91307,zip_code_aggregate,rolling_30_day_avg,USD,156,1191.12,14,356,788.4,21,144,590.083,13.0,194.0,1259.25,18,276,1540.3,15.0,422.0,1201.46,13.0,395.0
91311,zip_code_aggregate,rolling_30_day_avg,USD,150,1733.14,25,259,1234.61,36,123,1554.29,38.0,146.0,1852.38,24,290,1971.0,21.0,360.0,1930.24,22.0,334.0
91316,zip_code_aggregate,rolling_30_day_avg,USD,140,1825.0,23,300,1801.28,45,141,3591.6,85.0,144.0,1728.88,31,203,1164.35,14.0,348.0,3300.21,28.0,434.0
91335,zip_code_aggregate,rolling_30_day_avg,USD,180,1680.82,21,307,971.204,34,103,1014.7,27.0,139.0,1017.13,14,304,1834.12,21.0,335.0,1101.08,13.0,362.0
91340,zip_code_aggregate,rolling_30_day_avg,USD,242,1489.2,27,204,1569.5,43,129,1365.1,37.0,132.0,766.5,15,210,1890.7,27.0,259.0,2509.38,25.0,375.0
91342,zip_code_aggregate,rolling_30_day_avg,USD,106,1264.72,25,189,1085.88,24,170,1174.39,30.0,143.0,1062.15,21,194,1721.89,20.0,333.0,4906.82,40.0,436.0
91343,zip_code_aggregate,rolling_30_day_avg,USD,178,1315.52,28,173,722.7,36,72,1368.75,39.0,125.0,514.65,9,282,2091.75,26.0,299.0,1062.15,12.0,388.0
91344,zip_code_aggregate,rolling_30_day_avg,USD,169,1987.43,25,297,3334.27,90,126,1820.74,44.0,146.0,2638.95,39,241,3849.53,31.0,452.0,2883.8,22.0,499.0
91356,zip_code_aggregate,rolling_30_day_avg,USD,142,1717.93,19,353,1209.37,31,142,1204.5,27.0,165.0,1249.52,16,316,1615.73,19.0,332.0,1092.57,11.0,449.0
91364,zip_code_aggregate,rolling_30_day_avg,USD,237,1766.6,19,363,1779.98,47,133,1137.58,25.0,170.0,806.65,15,221,1703.33,17.0,400.0,1785.46,13.0,587.0
91367,zip_code_aggregate,rolling_30_day_avg,USD,163,1338.33,14,400,711.75,15,195,657.0,21.0,120.0,1242.82,21,227,873.567,11.0,359.0,659.433,7.0,542.0
91401,zip_code_aggregate,rolling_30_day_avg,USD,297,1910.78,21,349,1304.27,35,134,1445.4,30.0,176.0,1311.87,22,227,1660.75,18.0,364.0,1575.89,14.0,471.0
91403,zip_code_aggregate,rolling_30_day_avg,USD,145,996.45,12,364,2895.36,60,167,990.367,25.0,148.0,1253.47,16,317,351.312,6.0,385.0,334.583,5.0,550.0
91405,zip_code_aggregate,rolling_30_day_avg,USD,121,1231.27,19,253,1733.14,40,154,1671.09,44.0,134.0,240.9,6,264,1102.3,15.0,302.0,1766.6,19.0,363.0
91406,zip_code_aggregate,rolling_30_day_avg,USD,201,1024.13,16,259,1284.8,51,88,1251.34,25.0,187.0,960.862,16,243,474.5,8.0,312.0,793.267,11.0,326.0
91423,zip_code_aggregate,rolling_30_day_avg,USD,144,1989.25,18,436,2474.09,52,166,2169.93,44.0,174.0,1526.31,16,386,1945.45,15.0,533.0,1060.32,9.0,581.0
91501,zip_code_aggregate,rolling_30_day_avg,USD,174,1247.08,28,164,514.65,15,141,1273.24,29.0,161.0,1127.85,15,309,1637.94,18.0,359.0,3934.7,24.0,616.0
91504,zip_code_aggregate,rolling_30_day_avg,USD,220,1558.85,28,205,2311.06,61,131,1209.06,28.0,159.0,1596.88,24,250,2109.7,27.0,289.0,3662.17,38.0,344.0
91505,zip_code_aggregate,rolling_30_day_avg,USD,376,1481.9,27,203,1465.47,36,146,1338.33,28.0,176.0,1753.22,25,262,2139.81,24.0,335.0,878.433,11.0,361.0
91506,zip_code_aggregate,rolling_30_day_avg,USD,197,1318.26,25,197,1125.11,30,137,1150.97,25.0,172.0,1514.75,23,249,1605.39,17.0,377.0,3796.0,23.0,624.0
91522,zip_code_aggregate,rolling_30_day_avg,USD,120,1296.66,24,203,2401.7,59,141,1358.41,25.0,203.0,120.754,4,397,,,,2828.75,18.0,620.0
91601,zip_code_aggregate,rolling_30_day_avg,USD,165,976.375,13,321,1307.92,28,172,977.287,20.0,189.0,719.963,12,263,764.371,10.0,359.0,1116.9,11.0,459.0
91602,zip_code_aggregate,rolling_30_day_avg,USD,125,1198.11,16,303,2865.25,63,157,2336.0,43.0,192.0,1063.97,14,318,2163.23,17.0,508.0,1151.88,10.0,541.0
91604,zip_code_aggregate,rolling_30_day_avg,USD,205,1496.5,18,328,947.783,22,164,1496.5,27.0,205.0,1630.94,17,383,1453.61,12.0,531.0,2013.58,13.0,662.0
91605,zip_code_aggregate,rolling_30_day_avg,USD,150,1551.25,18,340,1043.29,38,98,897.292,28.0,118.0,996.45,15,273,1638.85,15.0,449.0,478.15,6.0,524.0
91606,zip_code_aggregate,rolling_30_day_avg,USD,198,1975.26,20,382,1367.23,32,155,1379.7,31.0,162.0,1292.71,20,250,1975.26,20.0,382.0,1616.95,15.0,443.0
91607,zip_code_aggregate,rolling_30_day_avg,USD,177,1694.82,17,398,1111.43,24,174,1338.33,28.0,176.0,1489.2,21,272,1136.06,12.0,415.0,1817.7,15.0,498.0
91608,zip_code_aggregate,rolling_30_day_avg,USD,173,817.6,11,336,1124.2,31,132,487.579,10.0,229.0,906.112,12,331,1724.02,16.0,436.0,975.158,10.0,458.0
91711,zip_code_aggregate,rolling_30_day_avg,USD,983,1445.4,25,216,2382.23,47,178,1215.45,30.0,148.0,2037.61,36,203,1387.0,18.0,304.0,1999.59,22.0,346.0
91731,zip_code_aggregate,rolling_30_day_avg,USD,123,1286.62,33,141,647.267,22,112,1284.8,36.0,128.0,2045.22,44,164,1046.33,19.0,215.0,1313.39,20.0,254.0
91741,zip_code_aggregate,rolling_30_day_avg,USD,120,1289.67,23,212,994.625,33,109,1391.87,35.0,143.0,1237.96,25,185,1328.6,19.0,273.0,1215.45,15.0,333.0
91744,zip_code_aggregate,rolling_30_day_avg,USD,198,1149.75,30,140,1115.68,31,131,1239.18,45.0,97.0,843.15,21,154,1199.63,20.0,232.0,2740.24,42.0,231.0
91745,zip_code_aggregate,rolling_30_day_avg,USD,336,1095.0,21,200,1032.65,38,97,933.487,34.0,99.0,1130.89,25,169,1189.29,20.0,230.0,1229.75,16.0,311.0
91748,zip_code_aggregate,rolling_30_day_avg,USD,147,2281.25,28,300,688.025,29,87,1343.2,35.0,138.0,976.375,18,214,1465.47,25.0,219.0,2365.2,27.0,324.0
91750,zip_code_aggregate,rolling_30_day_avg,USD,169,1927.2,39,176,1399.17,43,115,2294.63,49.0,164.0,2003.85,39,183,354.354,8.0,233.0,1406.47,20.0,272.0
91754,zip_code_aggregate,rolling_30_day_avg,USD,211,1951.84,34,207,1587.75,48,116,983.675,25.0,147.0,2965.62,53,195,2326.88,28.0,306.0,4041.77,47.0,302.0
91755,zip_code_aggregate,rolling_30_day_avg,USD,150,1418.63,25,212,606.812,22,105,2129.17,53.0,140.0,1761.12,33,193,736.083,14.0,220.0,1382.13,19.0,284.0
91770,zip_code_aggregate,rolling_30_day_avg,USD,205,1935.72,46,148,1073.1,45,84,1688.12,53.0,111.0,1969.18,42,166,2099.36,32.0,238.0,5610.05,56.0,348.0
91775,zip_code_aggregate,rolling_30_day_avg,USD,259,1730.1,39,158,1490.42,52,100,1434.15,44.0,115.0,1581.67,29,200,3083.64,40.0,274.0,5039.74,66.0,263.0
91776,zip_code_aggregate,rolling_30_day_avg,USD,121,2667.85,52,179,741.558,26,106,2063.47,56.0,128.0,2621.61,54,169,2836.05,45.0,222.0,6413.96,74.0,297.0
91790,zip_code_aggregate,rolling_30_day_avg,USD,107,1917.16,36,191,1040.25,33,114,1710.94,48.0,125.0,2117.0,43,174,1905.3,32.0,216.0,2288.85,28.0,301.0
91801,zip_code_aggregate,rolling_30_day_avg,USD,252,2737.5,53,180,1660.45,56,103,2016.62,54.0,130.0,2560.48,49,183,3623.84,49.0,259.0,5677.58,54.0,366.0
93536,zip_code_aggregate,rolling_30_day_avg,USD,121,1073.1,24,168,683.463,24,107,902.767,31.0,106.0,1226.4,27,168,1051.81,22.0,182.0,916.758,14.0,274.0
93604,zip_code_aggregate,rolling_30_day_avg,USD,326,635.1,9,348,1696.34,42,143,406.975,9.0,223.0,555.713,12,203,547.5,9.0,300.0,998.579,10.0,469.0
93614,zip_code_aggregate,rolling_30_day_avg,USD,134,822.467,19,169,1020.17,42,86,956.908,29.0,121.0,1117.51,25,167,613.2,11.0,252.0,1000.4,14.0,299.0
93644,zip_code_aggregate,rolling_30_day_avg,USD,552,1148.53,19,236,1653.45,39,151,1277.5,31.0,150.0,1283.58,23,211,996.45,16.0,252.0,1100.78,14.0,329.0
94901,zip_code_aggregate,rolling_30_day_avg,USD,1161,1768.43,37,171,1601.44,42,135,1839.6,45.0,144.0,1779.38,28,234,2941.9,29.0,372.0,2299.5,23.0,378.0
94903,zip_code_aggregate,rolling_30_day_avg,USD,291,2226.5,43,183,943.525,25,141,1890.7,45.0,148.0,2628.0,43,216,5493.25,45.0,430.0,3120.75,23.0,513.0
94904,zip_code_aggregate,rolling_30_day_avg,USD,198,1725.54,34,183,1461.82,30,178,2258.44,48.0,165.0,2866.77,32,325,3679.81,26.0,526.0,2061.34,12.0,753.0
94929,zip_code_aggregate,rolling_30_day_avg,USD,116,1739.83,14,520,2009.32,21,367,1146.1,15.0,314.0,1838.69,18,403,2662.07,19.0,547.0,2181.48,14.0,652.0
94930,zip_code_aggregate,rolling_30_day_avg,USD,361,2368.85,47,177,2337.52,56,145,2372.5,53.0,156.0,2762.44,41,239,4370.88,33.0,479.0,3472.98,36.0,346.0
94941,zip_code_aggregate,rolling_30_day_avg,USD,2180,2563.52,31,301,1761.12,33,193,2027.57,36.0,202.0,2933.99,29,371,4692.68,31.0,551.0,2944.33,19.0,605.0
94945,zip_code_aggregate,rolling_30_day_avg,USD,105,2331.44,38,219,1850.55,55,117,1314.0,39.0,120.0,1899.22,31,223,3106.15,49.0,222.0,1976.47,21.0,361.0
94949,zip_code_aggregate,rolling_30_day_avg,USD,103,1846.9,25,276,1550.03,31,182,2358.81,50.0,165.0,869.917,25,130,3111.62,36.0,310.0,2343.3,21.0,428.0
94960,zip_code_aggregate,rolling_30_day_avg,USD,575,2734.76,40,243,2176.01,52,146,1907.12,41.0,165.0,3066.0,38,288,4738.0,40.0,421.0,4471.25,28.0,588.0
94965,zip_code_aggregate,rolling_30_day_avg,USD,194,2073.2,27,284,1644.93,35,169,1790.93,26.0,256.0,2608.23,28,343,1081.31,12.0,395.0,2071.07,14.0,619.0
94970,zip_code_aggregate,rolling_30_day_avg,USD,163,1291.49,14,386,1311.87,22,227,1081.31,18.0,237.0,1474.6,15,404,1705.46,10.0,801.0,1992.9,11.0,819.0
95338,zip_code_aggregate,rolling_30_day_avg,USD,297,1536.04,28,202,1361.75,40,121,1478.25,33.0,162.0,1502.89,30,183,1472.17,23.0,242.0,2677.88,34.0,284.0
95437,zip_code_aggregate,rolling_30_day_avg,USD,167,1923.85,28,253,1716.41,30,209,1361.15,28.0,179.0,1727.97,26,247,2148.02,25.0,321.0,2752.71,28.0,362.0
95445,zip_code_aggregate,rolling_30_day_avg,USD,141,2597.58,38,244,2286.73,45,179,1217.88,25.0,182.0,2429.07,36,242,4600.52,58.0,275.0,1513.53,19.0,311.0
95460,zip_code_aggregate,rolling_30_day_avg,USD,213,1853.59,25,277,1164.35,25,174,1612.08,28.0,212.0,1581.67,19,325,1998.38,21.0,365.0,2745.1,22.0,475.0
93923,zip_code_aggregate,rolling_30_day_avg,USD,258,2044.3,14,611,1405.25,23,231,1795.8,21.0,328.0,2313.19,16,585,1864.24,12.0,681.0,7.95808e-13,3.0,762.0
93950,zip_code_aggregate,rolling_30_day_avg,USD,186,2370.07,19,487,2316.53,31,272,2273.95,31.0,267.0,2808.68,22,486,2725.33,17.0,640.0,2022.1,11.0,831.0
93953,zip_code_aggregate,rolling_30_day_avg,USD,178,1732.84,12,633,2092.67,35,215,2524.58,28.0,332.0,1214.23,11,499,1828.65,12.0,668.0,246.375,4.0,810.0
93955,zip_code_aggregate,rolling_30_day_avg,USD,314,1546.08,20,299,2053.73,35,211,1022.91,22.0,177.0,1412.55,21,258,1820.13,19.0,374.0,1067.32,14.0,319.0
94558,zip_code_aggregate,rolling_30_day_avg,USD,307,1578.62,18,346,-140.525,1,231,1172.56,18.0,257.0,2930.04,22,507,2972.93,21.0,543.0,-494.575,1.0,813.0
95728,zip_code_aggregate,rolling_30_day_avg,USD,116,1300.92,16,329,-447.125,0,490,978.2,19.0,201.0,1390.65,21,254,1157.66,14.0,346.0,2342.39,20.0,453.0
95945,zip_code_aggregate,rolling_30_day_avg,USD,132,1256.51,30,153,1104.12,33,121,1235.22,34.0,131.0,1217.88,25,182,1786.68,25.0,267.0,2821.15,28.0,371.0
95959,zip_code_aggregate,rolling_30_day_avg,USD,260,1371.18,26,196,1030.52,31,121,1157.96,30.0,141.0,1264.72,21,231,1653.45,21.0,302.0,1569.5,18.0,344.0
96161,zip_code_aggregate,rolling_30_day_avg,USD,528,1387.0,15,380,1874.28,42,158,849.842,14.0,254.0,1195.38,18,262,1324.95,15.0,363.0,1839.6,15.0,504.0
92614,zip_code_aggregate,rolling_30_day_avg,USD,202,1057.59,22,183,1640.68,34,174,1726.45,36.0,172.0,396.938,8,261,,,,,,
92626,zip_code_aggregate,rolling_30_day_avg,USD,110,1049.38,18,230,649.7,15,178,1230.96,22.0,213.0,750.075,12,274,1133.93,19.0,233.0,2056.77,26.0,294.0
92651,zip_code_aggregate,rolling_30_day_avg,USD,194,2329.92,23,383,1839.6,21,336,1907.12,25.0,285.0,2496.6,22,432,3476.62,21.0,635.0,-259.454,2.0,853.0
92653,zip_code_aggregate,rolling_30_day_avg,USD,325,757.375,13,249,1452.4,28,191,708.1,15.0,194.0,463.55,9,254,2190.0,28.0,288.0,1284.8,15.0,352.0
92655,zip_code_aggregate,rolling_30_day_avg,USD,213,1779.98,25,266,1772.68,50,124,798.438,28.0,105.0,1242.52,22,215,1793.37,25.0,268.0,2595.15,30.0,316.0
92661,zip_code_aggregate,rolling_30_day_avg,USD,141,1341.38,18,294,1138.5,22,197,1237.96,25.0,185.0,1020.17,16,258,1905.91,16.0,482.0,1885.83,13.0,620.0
92663,zip_code_aggregate,rolling_30_day_avg,USD,225,1673.53,17,393,1259.25,26,180,770.15,15.0,211.0,1713.07,19,352,1948.19,18.0,427.0,1782.11,12.0,651.0
92691,zip_code_aggregate,rolling_30_day_avg,USD,206,1732.53,19,356,759.2,16,192,1469.12,38.0,138.0,1652.84,22,286,1839.6,19.0,378.0,1116.9,12.0,408.0
92704,zip_code_aggregate,rolling_30_day_avg,USD,128,1370.27,20,265,100.375,6,110,1365.1,37.0,132.0,1385.18,26,198,1234.92,17.0,290.0,1732.53,19.0,356.0
92705,zip_code_aggregate,rolling_30_day_avg,USD,153,1172.56,18,257,803.0,23,132,1273.24,26.0,182.0,1140.62,18,250,1587.75,18.0,348.0,1797.02,17.0,422.0
92706,zip_code_aggregate,rolling_30_day_avg,USD,122,1125.42,23,185,264.625,9,145,1204.5,33.0,132.0,1098.65,24,172,1230.66,17.0,289.0,1328.6,16.0,336.0
92707,zip_code_aggregate,rolling_30_day_avg,USD,114,736.083,13,242,1287.84,32,146,743.383,16.0,188.0,472.675,9,259,889.992,14.0,266.0,1745.92,23.0,287.0
92714,zip_code_aggregate,rolling_30_day_avg,USD,119,528.033,10,248,631.45,15,173,324.85,9.0,178.0,934.4,15,256,1.08002e-12,3.0,353.0,,,
92780,zip_code_aggregate,rolling_30_day_avg,USD,107,2410.22,31,283,1423.5,42,120,2206.43,42.0,186.0,1329.21,26,190,2856.12,33.0,313.0,2040.05,22.0,353.0
92782,zip_code_aggregate,rolling_30_day_avg,USD,306,1090.44,18,239,374.733,10,176,1330.73,28.0,175.0,803.0,13,264,1839.6,19.0,378.0,463.55,7.0,381.0
92804,zip_code_aggregate,rolling_30_day_avg,USD,240,2120.95,22,367,1768.43,41,153,2149.85,60.0,124.0,1779.38,28,234,1418.03,17.0,333.0,2256.92,23.0,371.0
92833,zip_code_aggregate,rolling_30_day_avg,USD,214,1930.24,22,334,1518.1,34,161,1929.63,55.0,122.0,1328.6,24,208,2063.16,22.0,357.0,1456.35,17.0,342.0
92870,zip_code_aggregate,rolling_30_day_avg,USD,174,2135.25,23,351,923.45,26,132,1089.53,21.0,199.0,1039.34,20,201,2901.75,33.0,318.0,2153.5,23.0,354.0
95603,zip_code_aggregate,rolling_30_day_avg,USD,147,1119.33,23,184,2022.71,53,133,1072.19,28.0,141.0,885.125,18,194,1512.32,25.0,226.0,1727.97,22.0,299.0
96141,zip_code_aggregate,rolling_30_day_avg,USD,230,1283.58,13,422,-151.475,0,166,1318.87,19.0,271.0,1469.12,17,345,1021.09,12.0,373.0,1418.03,12.0,518.0
96143,zip_code_aggregate,rolling_30_day_avg,USD,261,1411.33,19,290,2447.32,57,149,1695.73,28.0,223.0,1411.64,20,273,1771.47,19.0,364.0,1485.55,14.0,444.0
96145,zip_code_aggregate,rolling_30_day_avg,USD,568,1262.29,13,415,4050.59,26,579,1664.4,21.0,304.0,992.8,15,272,1032.04,12.0,377.0,1536.04,13.0,505.0
96146,zip_code_aggregate,rolling_30_day_avg,USD,187,1522.05,15,417,1788.5,38,168,1192.33,19.0,245.0,1132.72,17,266,1811.31,18.0,397.0,1523.88,13.0,501.0
96148,zip_code_aggregate,rolling_30_day_avg,USD,146,854.708,13,281,1329.21,22,230,566.358,10.0,266.0,790.833,13,260,1605.39,17.0,377.0,492.75,6.0,540.0
96103,zip_code_aggregate,rolling_30_day_avg,USD,236,1576.8,19,324,225.692,5,371,689.85,15.0,189.0,1256.51,20,243,1320.69,16.0,334.0,2484.74,24.0,389.0
92203,zip_code_aggregate,rolling_30_day_avg,USD,136,1124.2,14,336,684.375,12,250,1241.0,19.0,255.0,809.083,10,380,1073.1,15.0,294.0,885.733,11.0,364.0
92210,zip_code_aggregate,rolling_30_day_avg,USD,110,1668.66,29,211,-455.337,0,499,1674.13,35.0,172.0,1539.08,26,220,1880.36,25.0,281.0,4007.7,27.0,549.0
92211,zip_code_aggregate,rolling_30_day_avg,USD,326,1438.71,25,215,73.9125,4,243,1296.66,24.0,203.0,1852.38,32,210,1813.44,25.0,271.0,2733.55,22.0,473.0
92240,zip_code_aggregate,rolling_30_day_avg,USD,363,939.875,13,309,715.4,27,98,463.55,15.0,127.0,804.825,17,189,1003.75,14.0,300.0,1026.56,12.0,375.0
92241,zip_code_aggregate,rolling_30_day_avg,USD,117,1018.65,20,197,2082.32,45,163,894.25,23.0,147.0,1105.04,24,173,1061.54,13.0,349.0,723.917,10.0,340.0
92260,zip_code_aggregate,rolling_30_day_avg,USD,557,2022.1,27,277,1237.96,25,185,1654.67,35.0,170.0,2167.19,28,285,2390.75,23.0,393.0,1682.95,14.0,503.0
92262,zip_code_aggregate,rolling_30_day_avg,USD,516,1783.94,20,345,2522.76,61,143,1272.94,30.0,155.0,2416.6,38,227,1609.35,16.0,407.0,1715.5,13.0,564.0
92264,zip_code_aggregate,rolling_30_day_avg,USD,346,2926.08,23,481,1266.25,26,181,1193.85,28.0,157.0,1462.13,22,253,3123.49,24.0,489.0,3619.58,23.0,595.0
92501,zip_code_aggregate,rolling_30_day_avg,USD,186,1526.0,32,173,1969.18,81,83,1141.54,30.0,139.0,1742.27,35,179,1481.9,24.0,232.0,2518.5,33.0,276.0
92504,zip_code_aggregate,rolling_30_day_avg,USD,252,1396.12,30,170,1031.12,33,113,944.438,30.0,115.0,1766.6,47,132,1794.89,24.0,281.0,1250.73,19.0,257.0
92506,zip_code_aggregate,rolling_30_day_avg,USD,197,1407.68,29,178,1334.07,37,129,1352.32,41.0,117.0,1245.26,26,178,1084.05,15.0,297.0,1577.1,20.0,305.0
92507,zip_code_aggregate,rolling_30_day_avg,USD,111,1581.67,23,260,1711.85,45,134,734.867,19.0,151.0,446.212,12,163,1314.0,19.0,270.0,657.0,11.0,270.0
92549,zip_code_aggregate,rolling_30_day_avg,USD,522,1230.96,22,213,1077.36,25,161,1523.88,33.0,167.0,1236.74,22,214,1241.0,18.0,272.0,1774.81,18.0,389.0
92591,zip_code_aggregate,rolling_30_day_avg,USD,108,1405.25,15,385,1247.08,28,164,1111.43,21.0,203.0,657.0,11,270,1742.57,20.0,337.0,1682.04,13.0,553.0
92592,zip_code_aggregate,rolling_30_day_avg,USD,229,1495.59,14,447,1207.24,30,147,858.054,16.0,217.0,1079.49,16,273,1365.1,15.0,374.0,1945.45,15.0,533.0
95608,zip_code_aggregate,rolling_30_day_avg,USD,185,1285.1,28,169,2600.32,86,103,1158.88,33.0,127.0,1034.17,23,170,858.054,16.0,217.0,1697.25,23.0,279.0
95610,zip_code_aggregate,rolling_30_day_avg,USD,117,1099.26,29,139,1150.66,42,97,615.633,25.0,92.0,1309.44,38,123,1465.47,25.0,219.0,916.758,14.0,274.0
95630,zip_code_aggregate,rolling_30_day_avg,USD,439,1739.83,29,220,2154.72,49,154,1644.32,37.0,159.0,1173.17,22,203,2002.33,32.0,227.0,2040.96,25.0,305.0
95670,zip_code_aggregate,rolling_30_day_avg,USD,297,1361.15,28,179,549.325,24,86,1368.75,48.0,100.0,2763.66,62,154,1204.5,23.0,198.0,1642.5,21.0,300.0
95671,zip_code_aggregate,rolling_30_day_avg,USD,122,1999.9,28,263,-52.925,0,58,1101.08,23.0,181.0,2205.21,28,290,2319.88,32.0,263.0,3329.41,29.0,421.0
95811,zip_code_aggregate,rolling_30_day_avg,USD,858,1886.14,42,159,1806.75,48,132,1577.71,42.0,133.0,1981.95,39,181,2291.29,34.0,243.0,-173.375,2.0,570.0
95814,zip_code_aggregate,rolling_30_day_avg,USD,804,1358.41,32,154,1440.53,40,128,1372.4,35.0,141.0,1318.26,25,197,1443.57,24.0,226.0,1606.0,23.0,264.0
95815,zip_code_aggregate,rolling_30_day_avg,USD,421,2217.38,48,162,1579.84,56,98,1644.93,55.0,104.0,2452.8,45,192,2831.79,38.0,266.0,1278.11,25.0,191.0
95816,zip_code_aggregate,rolling_30_day_avg,USD,1130,2074.42,47,155,2514.85,56,156,2129.17,53.0,140.0,2325.05,42,196,1931.46,28.0,254.0,3789.92,31.0,445.0
95817,zip_code_aggregate,rolling_30_day_avg,USD,1468,1396.12,33,153,2061.03,59,121,1282.97,40.0,114.0,1388.22,31,163,1475.51,24.0,231.0,682.55,15.0,187.0
95818,zip_code_aggregate,rolling_30_day_avg,USD,1135,1654.67,37,160,1056.98,28,139,1739.53,46.0,133.0,1650.1,34,175,1858.46,29.0,235.0,1732.23,20.0,335.0
95821,zip_code_aggregate,rolling_30_day_avg,USD,176,1272.94,30,155,813.646,28,107,1222.14,44.0,98.0,912.5,23,150,2289.46,42.0,193.0,3312.38,21.0,605.0
95822,zip_code_aggregate,rolling_30_day_avg,USD,333,1348.37,34,143,1673.53,45,131,1131.5,34.0,120.0,1586.84,40,141,1278.11,25.0,191.0,1090.13,17.0,256.0
95823,zip_code_aggregate,rolling_30_day_avg,USD,125,1161.61,22,201,638.75,17,150,,,,894.554,20,173,1762.95,31.0,207.0,912.5,18.0,200.0
95826,zip_code_aggregate,rolling_30_day_avg,USD,102,1250.12,33,137,1168.0,43,96,1231.27,47.0,92.0,1035.99,29,131,1606.0,27.0,220.0,2056.77,26.0,294.0
95827,zip_code_aggregate,rolling_30_day_avg,USD,122,438.0,21,80,367.129,20,71,621.717,31.0,73.0,1585.93,36,158,1581.06,26.0,226.0,4343.5,59.0,255.0
95833,zip_code_aggregate,rolling_30_day_avg,USD,594,1616.04,36,161,1252.56,32,142,1111.43,32.0,126.0,2007.5,43,165,1496.5,27.0,205.0,3061.44,36.0,305.0
95835,zip_code_aggregate,rolling_30_day_avg,USD,324,1483.12,26,212,3292.3,91,123,3105.24,86.0,123.0,1975.26,37,191,1546.08,26.0,221.0,1056.68,21.0,193.0
